ablation_name,best_val_f1,test_accuracy,test_precision,test_recall,test_f1,test_loss,test_roc_auc,unseen_accuracy,unseen_precision,unseen_recall,unseen_f1,unseen_loss,unseen_roc_auc
baseline1,0.9442224442224442,0.9195,0.8767964071856288,0.9761666666666666,0.9238170347003155,0.29544191624751936,0.9878924722222223,0.911,0.8889099167297502,0.9394,0.9134577985219758,0.3342444632053375,0.97326324
ablation_a,0.9421151184564032,0.9393333333333334,0.9177496038034866,0.9651666666666666,0.9408610885458977,0.1614592628350171,0.9900217499999999,0.9269,0.9293904646952323,0.924,0.9266873934409788,0.22299843719303608,0.9774612400000001
ablation_b,0.9487728545544392,0.9474166666666667,0.9351596693143135,0.9615,0.9481469307256143,0.14579852548536534,0.990849638888889,0.9205,0.9432848408180476,0.8948,0.9184029559683876,0.25412374811470506,0.97432168
ablation_c,0.9484021572888996,0.9453333333333334,0.9156813939016801,0.981,0.9472159639523656,0.19118037070830662,0.9922695972222223,0.9261,0.924317864967138,0.9282,0.9262548647839537,0.2736855114541948,0.9789554800000001
